,name,city,state,Lat,Lng
0,NorthGate Brewing ,Minneapolis, MN,44.9983322,-93.2211744
1,Against the Grain Brewery,Louisville, KY,38.2554896,-85.7440216
2,Jack's Abby Craft Lagers,Framingham, MA,42.2801844,-71.4111676
3,Mike Hess Brewing Company,San Diego, CA,32.7508011,-117.2448931
4,Fort Point Beer Company,San Francisco, CA,37.7959215,-122.3940521
5,COAST Brewing Company,Charleston, SC,32.8735877,-79.9720038
6,Great Divide Brewing Company,Denver, CO,39.7538085,-104.9885278
7,Tapistry Brewing,Bridgman, MI,41.94277659999999,-86.556101
8,Big Lake Brewing,Holland, MI,42.791459,-86.107906
9,The Mitten Brewing Company,Grand Rapids, MI,42.9851272,-85.6811017
10,Brewery Vivant,Grand Rapids, MI,42.9597509,-85.6463209
11,Petoskey Brewing,Petoskey, MI,45.3968008,-84.90304410000002
12,Blackrocks Brewery,Marquette, MI,46.546967,-87.394566
13,Perrin Brewing Company,Comstock Park, MI,43.07133150000001,-85.6814191
14,Witch's Hat Brewing Company,South Lyon, MI,42.454514,-83.65034539999999
15,Founders Brewing Company,Grand Rapids, MI,42.9583924,-85.6746319
16,Flat 12 Bierwerks,Indianapolis, IN,39.772835,-86.138683
17,Tin Man Brewing Company,Evansville, IN,40.4905709,-86.1327196
18,Black Acre Brewing Co.,Indianapolis, IN,39.7709647,-86.0709176
19,Brew Link Brewing,Plainfield, IN,39.7038701,-86.4007144
20,Bare Hands Brewery,Granger, IN,41.760219,-86.11779700000001
21,Three Pints Brewing,Martinsville, IN,39.677991,-86.3701849
22,Four Fathers Brewing ,Valparaiso, IN,41.4733592,-87.08002100000002
23,Indiana City Brewing,Indianapolis, IN,39.766067,-86.141221
24,Burn 'Em Brewing,Michigan City, IN,41.738628,-86.82802199999999
25,Sun King Brewing Company,Indianapolis, IN,39.7690405,-86.14460179999999
26,Evil Czech Brewery,Mishawaka, IN,41.69394500000001,-86.1822832
27,450 North Brewing Company,Columbus, IN,39.2678494,-85.8320774
28,Taxman Brewing Company,Bargersville, IN,39.52095509999999,-86.1670716
29,Cedar Creek Brewery,Seven Points, TX,32.322979,-96.206841
30,SanTan Brewing Company,Chandler, AZ,33.3032251,-111.8424385
31,Boulevard Brewing Company,Kansas City, MO,39.082097,-94.596736
32,James Page Brewing Company,Stevens Point, WI,44.52357920000001,-89.574563
33,The Dudes' Brewing Company,Torrance, CA,33.841623,-118.311439
34,Ballast Point Brewing Company,San Diego, CA,32.888093,-117.157947
35,Anchor Brewing Company,San Francisco, CA,37.7634098,-122.4010392
36,Figueroa Mountain Brewing Company,Buellton, CA,34.610657,-120.202302
37,Avery Brewing Company,Boulder, CO,40.0625629,-105.2047427
38,Twisted X Brewing Company,Dripping Springs, TX,30.1650939,-98.0847367
39,Gonzo's BiggDogg Brewing,Kalamazoo, MI,42.2907433,-85.5899756
40,Big Muddy Brewing,Murphysboro, IL,37.7843332,-89.3315914
41,Lost Nation Brewing,East Fairfield, VT,44.5700566,-72.60331289999999
42,Rising Tide Brewing Company,Portland, ME,43.6654737,-70.2572586
43,Rivertowne Brewing Company,Export, PA,40.4213277,-79.6354348
44,Revolution Brewing Company,Chicago, IL,41.9421312,-87.70784929999999
45,Tallgrass Brewing Company,Manhattan, KS,39.1796745,-96.56128679999999
46,Sixpoint Craft Ales,Brooklyn, NY,40.6740132,-74.0119108
47,White Birch Brewing,Hooksett, NH,42.7888712,-71.5194431
48,Firestone Walker Brewing Company,Paso Robles, CA,35.5959224,-120.6941187
49,SweetWater Brewing Company,Atlanta, GA,33.8084282,-84.38065309999999
50,Flying Mouse Brewery,Troutville, VA,37.4092109,-79.90049330000001
51,Upslope Brewing Company,Boulder, CO,40.0202785,-105.218426
52,Pipeworks Brewing Company,Chicago, IL,41.91834250000001,-87.72540479999999
53,Bent Brewstillery,Roseville, MN,45.024508,-93.173879
54,Flesk Brewing Company,Lombard, IL,42.15592059999999,-88.13882149999999
55,Pollyanna Brewing Company,Lemont, IL,41.6759421,-87.9979374
56,BuckleDown Brewing,Lyons, IL,41.8058324,-87.83718309999999
57,Destihl Brewery,Bloomington, IL,40.5293469,-88.9462161
58,Summit Brewing Company,St. Paul, MN,44.914066,-93.139609
59,Latitude 42 Brewing Company,Portage, MI,42.20258,-85.56041599999999
60,4 Hands Brewing Company,Saint Louis, MO,38.6149554,-90.19752570000001
61,Surly Brewing Company,Brooklyn Center, MN,44.9729768,-93.20981830000001
62,Against The Grain Brewery,Louisville, KY,38.2554896,-85.7440216
63,Crazy Mountain Brewing Company,Edwards, CO,39.7238572,-105.0003281
64,SlapShot Brewing Company,Chicago, IL,41.83369649999999,-87.73237970000001
65,Mikerphone Brewing,Chicago, IL,42.0297529,-87.96754530000001
66,Freetail Brewing Company,San Antonio, TX,29.4015813,-98.4822392
67,3 Daughters Brewing,St Petersburg, FL,27.7691552,-82.662814
68,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,39.4228993,-77.19249959999999
69,Appalachian Mountain Brewery,Boone, NC,36.203368,-81.6684386
70,Birdsong Brewing Company,Charlotte, NC,35.230652,-80.82653599999999
71,Union Craft Brewing,Baltimore, MD,39.336305,-76.64423
72,Atwater Brewery,Detroit, MI,42.3373555,-83.0184811
73,Ale Asylum,Madison, WI,43.120465,-89.354151
74,Two Brothers Brewing Company,Warrenville, IL,41.824462,-88.211933
75,Bent Paddle Brewing Company,Duluth, MN,46.768473,-92.120678
76,Bell's Brewery,Kalamazoo, MI,42.294927,-85.5790038
77,Blue Owl Brewing,Austin, TX,30.2545683,-97.7169378
78,Speakasy Ales & Lagers,San Francisco, CA,37.738157,-122.3806562
79,Black Tooth Brewing Company,Sheridan, WY,44.8009273,-106.9537799
80,Hopworks Urban Brewery,Portland, OR,45.4969091,-122.6348353
81,Epic Brewing,Denver, CO,39.7631728,-104.9813241
82,New Belgium Brewing Company,Fort Collins, CO,40.59323759999999,-105.068601
83,Sierra Nevada Brewing Company,Chico, CA,39.7233597,-121.8159439
84,Keweenaw Brewing Company,Houghton, MI,47.12207900000001,-88.568758
85,Brewery Terra Firma,Traverse City, MI,44.715452,-85.635438
86,Grey Sail Brewing Company,Westerly, RI,41.384963,-71.8324189
